KP_Tipe	KP_RAD	DESC_RAD	INLIER_RAD	DIST(mm)
harris3D	0.060	0.060	0.100	0.023
harris3D	0.060	0.080	0.020	0.023
harris3D	0.060	0.080	0.040	0.023
harris3D	0.060	0.080	0.060	0.023
harris3D	0.060	0.080	0.080	0.023
harris3D	0.060	0.080	0.100	0.023
harris3D	0.060	0.100	0.020	0.023
harris3D	0.060	0.100	0.040	0.023
harris3D	0.060	0.100	0.060	0.023
harris3D	0.060	0.100	0.080	0.023
harris3D	0.060	0.100	0.100	0.023
harris3D	0.080	0.020	0.020	0.023
harris3D	0.080	0.020	0.040	0.023
harris3D	0.080	0.020	0.060	0.023
harris3D	0.080	0.020	0.080	0.023
harris3D	0.080	0.020	0.100	0.023
harris3D	0.080	0.040	0.020	0.023
harris3D	0.080	0.040	0.040	0.023
harris3D	0.080	0.040	0.060	0.023
harris3D	0.080	0.040	0.080	0.023
harris3D	0.080	0.040	0.100	0.023
harris3D	0.080	0.060	0.020	0.023
harris3D	0.080	0.060	0.040	0.023
harris3D	0.080	0.060	0.060	0.023
harris3D	0.080	0.060	0.080	0.023
harris3D	0.080	0.060	0.100	0.023
harris3D	0.080	0.080	0.020	0.023
harris3D	0.080	0.080	0.040	0.023
harris3D	0.080	0.080	0.060	0.023
harris3D	0.080	0.080	0.080	0.023
harris3D	0.080	0.080	0.100	0.023
harris3D	0.080	0.100	0.020	0.023
harris3D	0.080	0.100	0.040	0.023
harris3D	0.080	0.100	0.060	0.023
harris3D	0.080	0.100	0.080	0.023
harris3D	0.080	0.100	0.100	0.023
harris3D	0.100	0.020	0.020	0.023
harris3D	0.100	0.020	0.040	0.023
harris3D	0.100	0.020	0.060	0.023
harris3D	0.100	0.020	0.080	0.023
harris3D	0.100	0.020	0.100	0.023
harris3D	0.100	0.040	0.020	0.023
harris3D	0.100	0.040	0.040	0.023
harris3D	0.100	0.040	0.060	0.023
harris3D	0.100	0.040	0.080	0.023
harris3D	0.100	0.040	0.100	0.023
harris3D	0.100	0.060	0.020	0.023
harris3D	0.100	0.060	0.040	0.023
harris3D	0.100	0.060	0.060	0.023
harris3D	0.100	0.060	0.080	0.023
harris3D	0.100	0.060	0.100	0.023
harris3D	0.100	0.080	0.020	0.023
harris3D	0.100	0.080	0.040	0.023
harris3D	0.100	0.080	0.060	0.023
harris3D	0.100	0.080	0.080	0.023
harris3D	0.100	0.080	0.100	0.023
harris3D	0.100	0.100	0.020	0.023
harris3D	0.100	0.100	0.040	0.023
harris3D	0.100	0.100	0.060	0.023
harris3D	0.100	0.100	0.080	0.023
harris3D	0.100	0.100	0.100	0.023
harris6D	0.020	0.020	0.020	0.017
harris6D	0.020	0.020	0.040	0.017
harris6D	0.020	0.020	0.060	0.017
harris6D	0.020	0.020	0.080	0.017
harris6D	0.020	0.020	0.100	0.017
harris6D	0.020	0.040	0.020	0.017
harris6D	0.020	0.040	0.040	0.017
harris6D	0.020	0.040	0.060	0.017
harris6D	0.020	0.040	0.080	0.017
harris6D	0.020	0.040	0.100	0.017
harris6D	0.020	0.060	0.020	0.017
harris6D	0.020	0.060	0.040	0.017
harris6D	0.020	0.060	0.060	0.017
harris6D	0.020	0.060	0.080	0.017
harris6D	0.020	0.060	0.100	0.017
harris6D	0.020	0.080	0.020	0.017
harris6D	0.020	0.080	0.040	0.017
harris6D	0.020	0.080	0.060	0.017
harris6D	0.020	0.080	0.080	0.235
harris6D	0.020	0.080	0.100	0.247
harris6D	0.020	0.100	0.020	0.017
harris6D	0.020	0.100	0.040	0.017
harris6D	0.020	0.100	0.060	0.017
harris6D	0.020	0.100	0.080	0.017
harris6D	0.020	0.100	0.100	0.017
harris6D	0.040	0.020	0.020	0.017
harris6D	0.040	0.020	0.040	0.017
harris6D	0.040	0.020	0.060	0.017
harris6D	0.040	0.020	0.080	0.017
harris6D	0.040	0.020	0.100	0.017
harris6D	0.040	0.040	0.020	0.017
harris6D	0.040	0.040	0.040	0.017
harris6D	0.040	0.040	0.060	0.017
harris6D	0.040	0.040	0.080	0.017
harris6D	0.040	0.040	0.100	0.017
harris6D	0.040	0.060	0.020	0.017
harris6D	0.040	0.060	0.040	0.017
harris6D	0.040	0.060	0.060	0.017
harris6D	0.040	0.060	0.080	0.017
harris6D	0.040	0.060	0.100	0.017
harris6D	0.040	0.080	0.020	0.017
harris6D	0.040	0.080	0.040	0.017
harris6D	0.040	0.080	0.060	0.017
harris6D	0.040	0.080	0.080	0.235
harris6D	0.040	0.080	0.100	0.247
harris6D	0.040	0.100	0.020	0.017
harris6D	0.040	0.100	0.040	0.017
harris6D	0.040	0.100	0.060	0.017
harris6D	0.040	0.100	0.080	0.017
harris6D	0.040	0.100	0.100	0.017
harris6D	0.060	0.020	0.020	0.017
harris6D	0.060	0.020	0.040	0.017
harris6D	0.060	0.020	0.060	0.017
harris6D	0.060	0.020	0.080	0.017
harris6D	0.060	0.020	0.100	0.017
harris6D	0.060	0.040	0.020	0.017
harris6D	0.060	0.040	0.040	0.017
harris6D	0.060	0.040	0.060	0.017
harris6D	0.060	0.040	0.080	0.017
harris6D	0.060	0.040	0.100	0.017
harris6D	0.060	0.060	0.020	0.017
harris6D	0.060	0.060	0.040	0.017
harris6D	0.060	0.060	0.060	0.017
harris6D	0.060	0.060	0.080	0.017
harris6D	0.060	0.060	0.100	0.017
harris6D	0.060	0.080	0.020	0.017
harris6D	0.060	0.080	0.040	0.017
harris6D	0.060	0.080	0.060	0.017
harris6D	0.060	0.080	0.080	0.235
harris6D	0.060	0.080	0.100	0.247
harris6D	0.060	0.100	0.020	0.017
harris6D	0.060	0.100	0.040	0.017
harris6D	0.060	0.100	0.060	0.017
harris6D	0.060	0.100	0.080	0.017
harris6D	0.060	0.100	0.100	0.017
harris6D	0.080	0.020	0.020	0.017
harris6D	0.080	0.020	0.040	0.017
harris6D	0.080	0.020	0.060	0.017
harris6D	0.080	0.020	0.080	0.017
harris6D	0.080	0.020	0.100	0.017
harris6D	0.080	0.040	0.020	0.017
harris6D	0.080	0.040	0.040	0.017
harris6D	0.080	0.040	0.060	0.017
harris6D	0.080	0.040	0.080	0.017
harris6D	0.080	0.040	0.100	0.017
harris6D	0.080	0.060	0.020	0.017
harris6D	0.080	0.060	0.040	0.017
harris6D	0.080	0.060	0.060	0.017
harris6D	0.080	0.060	0.080	0.017
harris6D	0.080	0.060	0.100	0.017
harris6D	0.080	0.080	0.020	0.017
harris6D	0.080	0.080	0.040	0.017
harris6D	0.080	0.080	0.060	0.017
harris6D	0.080	0.080	0.080	0.235
harris6D	0.080	0.080	0.100	0.247
harris6D	0.080	0.100	0.020	0.017
harris6D	0.080	0.100	0.040	0.017
harris6D	0.080	0.100	0.060	0.017
harris6D	0.080	0.100	0.080	0.017
harris6D	0.080	0.100	0.100	0.017
harris6D	0.100	0.020	0.020	0.017
harris6D	0.100	0.020	0.040	0.017
harris6D	0.100	0.020	0.060	0.017
harris6D	0.100	0.020	0.080	0.017
harris6D	0.100	0.020	0.100	0.017
