KP_Tipe	KP_RAD	DESC_RAD	INLIER_RAD	DIST(mm)
harris3D	0.007	0.009	0.009	0.060
harris3D	0.007	0.009	0.011	0.060
harris3D	0.007	0.009	0.013	0.060
harris3D	0.007	0.011	0.004	19.571
harris3D	0.007	0.011	0.007	19.571
harris3D	0.007	0.011	0.009	19.571
harris3D	0.007	0.011	0.011	19.571
harris3D	0.007	0.011	0.013	19.571
harris3D	0.007	0.013	0.004	19.571
harris3D	0.007	0.013	0.007	19.571
harris3D	0.007	0.013	0.009	19.571
harris3D	0.007	0.013	0.011	19.571
harris3D	0.007	0.013	0.013	19.571
harris3D	0.009	0.004	0.004	19.571
harris3D	0.009	0.004	0.007	19.571
harris3D	0.009	0.004	0.009	19.571
harris3D	0.009	0.004	0.011	19.571
harris3D	0.009	0.004	0.013	11.456
harris3D	0.009	0.007	0.004	0.068
harris3D	0.009	0.007	0.007	0.068
harris3D	0.009	0.007	0.009	0.068
harris3D	0.009	0.007	0.011	0.068
harris3D	0.009	0.007	0.013	0.068
harris3D	0.009	0.009	0.004	0.060
harris3D	0.009	0.009	0.007	0.060
harris3D	0.009	0.009	0.009	0.060
harris3D	0.009	0.009	0.011	0.060
harris3D	0.009	0.009	0.013	0.060
harris3D	0.009	0.011	0.004	19.571
harris3D	0.009	0.011	0.007	19.571
harris3D	0.009	0.011	0.009	19.571
harris3D	0.009	0.011	0.011	19.571
harris3D	0.009	0.011	0.013	19.571
harris3D	0.009	0.013	0.004	19.571
harris3D	0.009	0.013	0.007	19.571
harris3D	0.009	0.013	0.009	19.571
harris3D	0.009	0.013	0.011	19.571
harris3D	0.009	0.013	0.013	19.571
harris3D	0.011	0.004	0.004	19.571
harris3D	0.011	0.004	0.007	19.571
harris3D	0.011	0.004	0.009	19.571
harris3D	0.011	0.004	0.011	19.571
harris3D	0.011	0.004	0.013	11.456
harris3D	0.011	0.007	0.004	0.068
harris3D	0.011	0.007	0.007	0.068
harris3D	0.011	0.007	0.009	0.068
harris3D	0.011	0.007	0.011	0.068
harris3D	0.011	0.007	0.013	0.068
harris3D	0.011	0.009	0.004	0.060
harris3D	0.011	0.009	0.007	0.060
harris3D	0.011	0.009	0.009	0.060
harris3D	0.011	0.009	0.011	0.060
harris3D	0.011	0.009	0.013	0.060
harris3D	0.011	0.011	0.004	19.571
harris3D	0.011	0.011	0.007	19.571
harris3D	0.011	0.011	0.009	19.571
harris3D	0.011	0.011	0.011	19.571
harris3D	0.011	0.011	0.013	19.571
harris3D	0.011	0.013	0.004	19.571
harris3D	0.011	0.013	0.007	19.571
harris3D	0.011	0.013	0.009	19.571
harris3D	0.011	0.013	0.011	19.571
harris3D	0.011	0.013	0.013	19.571
harris3D	0.013	0.004	0.004	19.571
harris3D	0.013	0.004	0.007	19.571
harris3D	0.013	0.004	0.009	19.571
harris3D	0.013	0.004	0.011	19.571
harris3D	0.013	0.004	0.013	11.456
harris3D	0.013	0.007	0.004	0.068
harris3D	0.013	0.007	0.007	0.068
harris3D	0.013	0.007	0.009	0.068
harris3D	0.013	0.007	0.011	0.068
harris3D	0.013	0.007	0.013	0.068
harris3D	0.013	0.009	0.004	0.060
harris3D	0.013	0.009	0.007	0.060
harris3D	0.013	0.009	0.009	0.060
harris3D	0.013	0.009	0.011	0.060
harris3D	0.013	0.009	0.013	0.060
harris3D	0.013	0.011	0.004	19.571
harris3D	0.013	0.011	0.007	19.571
harris3D	0.013	0.011	0.009	19.571
harris3D	0.013	0.011	0.011	19.571
harris3D	0.013	0.011	0.013	19.571
harris3D	0.013	0.013	0.004	19.571
harris3D	0.013	0.013	0.007	19.571
harris3D	0.013	0.013	0.009	19.571
harris3D	0.013	0.013	0.011	19.571
harris3D	0.013	0.013	0.013	19.571
