KP_Tipe	KP_RAD	DESC_RAD	INLIER_RAD	DIST(mm)
sift_color	0.060	0.100	0.040	0.198
sift_color	0.060	0.100	0.060	0.198
sift_color	0.060	0.100	0.080	0.198
sift_color	0.060	0.100	0.100	0.571
sift_color	0.080	0.020	0.020	0.197
sift_color	0.080	0.020	0.040	0.197
sift_color	0.080	0.020	0.060	0.197
sift_color	0.080	0.020	0.080	0.197
sift_color	0.080	0.020	0.100	0.197
sift_color	0.080	0.040	0.020	5.888
sift_color	0.080	0.040	0.040	5.241
sift_color	0.080	0.040	0.060	5.315
sift_color	0.080	0.040	0.080	5.329
sift_color	0.080	0.040	0.100	5.550
sift_color	0.080	0.060	0.020	5.888
sift_color	0.080	0.060	0.040	0.290
sift_color	0.080	0.060	0.060	0.290
sift_color	0.080	0.060	0.080	0.301
sift_color	0.080	0.060	0.100	0.301
sift_color	0.080	0.080	0.020	0.197
sift_color	0.080	0.080	0.040	0.197
sift_color	0.080	0.080	0.060	0.197
sift_color	0.080	0.080	0.080	0.197
sift_color	0.080	0.080	0.100	0.197
sift_color	0.080	0.100	0.020	5.888
sift_color	0.080	0.100	0.040	0.198
sift_color	0.080	0.100	0.060	0.198
sift_color	0.080	0.100	0.080	0.198
sift_color	0.080	0.100	0.100	0.571
sift_color	0.100	0.020	0.020	0.197
sift_color	0.100	0.020	0.040	0.197
sift_color	0.100	0.020	0.060	0.197
sift_color	0.100	0.020	0.080	0.197
sift_color	0.100	0.020	0.100	0.197
sift_color	0.100	0.040	0.020	5.888
sift_color	0.100	0.040	0.040	5.241
sift_color	0.100	0.040	0.060	5.315
sift_color	0.100	0.040	0.080	5.329
sift_color	0.100	0.040	0.100	5.550
sift_color	0.100	0.060	0.020	5.888
sift_color	0.100	0.060	0.040	0.290
sift_color	0.100	0.060	0.060	0.290
sift_color	0.100	0.060	0.080	0.301
sift_color	0.100	0.060	0.100	0.301
sift_color	0.100	0.080	0.020	0.197
sift_color	0.100	0.080	0.040	0.197
sift_color	0.100	0.080	0.060	0.197
sift_color	0.100	0.080	0.080	0.197
sift_color	0.100	0.080	0.100	0.197
sift_color	0.100	0.100	0.020	5.888
sift_color	0.100	0.100	0.040	0.198
sift_color	0.100	0.100	0.060	0.198
sift_color	0.100	0.100	0.080	0.198
sift_color	0.100	0.100	0.100	0.571
